Clinic Name,Website,Website_Status,Website_Link,Crawled_URL,Page_Title,Word_Count,Crawl_Status,Saved_Text_File
Cynergy Physical Therapy — Chelsea,cynergypt.com,LIVE,https://cynergypt.com,https://cynergypt.com,Cynergy Physical Therapy – Physical and Occupational Therapy in New York City,21743,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Cynergy_Physical_Therapy_Chelsea.txt
LRRE PTPC,lrreptpc.com,LIVE,https://lrreptpc.com,https://lrreptpc.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\LRRE_PTPC.txt
Physical Therapy of Harlem,ptharlem.com,LIVE,https://ptharlem.com,https://ptharlem.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Physical_Therapy_of_Harlem.txt
Back 2 Shape PT & OT,,NO WEBSITE,http://back2shape.net/,,,0,SKIPPED_NO_URL,C:\Users\COB\Downloads\competitor\scraped_texts\Back_2_Shape_PT_OT.txt
Maplewood Chiropractic,maplewooddc.com,LIVE,https://maplewooddc.com,https://maplewooddc.com,,0,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Maplewood_Chiropractic.txt
PT of The City — Upper East Side,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Upper_East_Side.txt
Hands of Hope — Crown Heights,handsofhopeny.com,LIVE,https://handsofhopeny.com,https://handsofhopeny.com,Comprehensive Physical Therapy in NY & GA - Hands of Hope PT,2967,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Hands_of_Hope_Crown_Heights.txt
Jamaica PT and OT PLLC,jamaicaphysicaltherapy.com,LIVE,https://jamaicaphysicaltherapy.com,https://jamaicaphysicaltherapy.com,Home,154,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Jamaica_PT_and_OT_PLLC.txt
MC Care Physical Therapy,mccarept.square.site,LIVE,https://mccarept.square.site,https://mccarept.square.site,,0,OK,C:\Users\COB\Downloads\competitor\scraped_texts\MC_Care_Physical_Therapy.txt
PT of The City — Sheepshead Bay,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Sheepshead_Bay.txt
Back To Health Physical Therapy,physicaltherapybrooklyn.com,NO WEBSITE,https://physicaltherapybrooklyn.com,,,0,SKIPPED_NO_URL,C:\Users\COB\Downloads\competitor\scraped_texts\Back_To_Health_Physical_Therapy.txt
Fresh Pond PT – Graham Ave,freshpondpt.com,LIVE,https://freshpondpt.com,https://freshpondpt.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Fresh_Pond_PT_Graham_Ave.txt
PT of The City — Greenpoint,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Greenpoint.txt
Be Well Primary Health Care Center,bewellmedical.com,LIVE,https://bewellmedical.com,https://bewellmedical.com,"Be Well Primary Health Care Center - Multi-Specialty Diagnostic & Treatment Center in Brooklyn, NY",1561,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Be_Well_Primary_Health_Care_Center.txt
MOTION Sports Medicine – Williamsburg,motionptg.com,LIVE,https://motionptg.com,https://motionptg.com,"Physical, Occupational, & Speech Therapy - MOTION",2219,OK,C:\Users\COB\Downloads\competitor\scraped_texts\MOTION_Sports_Medicine_Williamsburg.txt
JAG Physical Therapy (16 Court St),jagpt.com,LIVE,https://jagpt.com,https://jagpt.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\JAG_Physical_Therapy_16_Court_St.txt
Spear Physical Therapy — W 26th,spearcenter.com,LIVE,https://spearcenter.com,https://spearcenter.com,Expert Physical Therapy in NYC | Spear,1395,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Spear_Physical_Therapy_W_26th.txt
PT of The City — Midtown,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Midtown.txt
PT of The City — Midwood,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Midwood.txt
JAG Physical Therapy — Voorhies Ave (Sheepshead Bay),jagpt.com,LIVE,https://jagpt.com,https://jagpt.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\JAG_Physical_Therapy_Voorhies_Ave_Sheepshead_Bay.txt
Atlantic Physical Therapy,ptatlantic.com,LIVE,https://ptatlantic.com,https://ptatlantic.com,,0,"STEALTH_ERROR: It looks like you are using Playwright Sync API inside the asyncio loop.
Please use the Async API instead.",C:\Users\COB\Downloads\competitor\scraped_texts\Atlantic_Physical_Therapy.txt
IMOVE Physical Therapy,imovephysio.com,LIVE,https://imovephysio.com,https://imovephysio.com,IMOVE |  Physical Therapy and Rehabilitation Clinic NYC - Manhattan,2142,OK,C:\Users\COB\Downloads\competitor\scraped_texts\IMOVE_Physical_Therapy.txt
Theradynamics PT – Bed-Stuy,theradynamics.com,LIVE,https://theradynamics.com,https://theradynamics.com,Get Back To Life! with Theradynamics Physical & Occupational Therapy,372,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Theradynamics_PT_Bed-Stuy.txt
Rehab Assoc. of Williamsburg,rehabilitationbrooklyn.com,LIVE,https://rehabilitationbrooklyn.com,https://rehabilitationbrooklyn.com,Homepage - Rehabilitation Associates of Brooklyn,886,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Rehab_Assoc_of_Williamsburg.txt
Cynergy Physical Therapy,cynergypt.com,LIVE,https://cynergypt.com,https://cynergypt.com,Cynergy Physical Therapy – Physical and Occupational Therapy in New York City,21743,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Cynergy_Physical_Therapy.txt
Cynergy Physical Therapy - Cobble Hill,cynergypt.com,LIVE,https://cynergypt.com,https://cynergypt.com,Cynergy Physical Therapy – Physical and Occupational Therapy in New York City,21743,OK,C:\Users\COB\Downloads\competitor\scraped_texts\Cynergy_Physical_Therapy_-_Cobble_Hill.txt
Avenue Physical Therapy,,NO WEBSITE,,,,0,SKIPPED_NO_URL,C:\Users\COB\Downloads\competitor\scraped_texts\Avenue_Physical_Therapy.txt
PT of The City — Brownsville,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Brownsville.txt
PT of The City — Central Harlem,ptofthecity.com,LIVE,https://ptofthecity.com,https://ptofthecity.com,Top-Rated Physical Therapy NYC | 30+ Clinics | PT of the City,2946,OK,C:\Users\COB\Downloads\competitor\scraped_texts\PT_of_The_City_Central_Harlem.txt
